id,name,sku,storage_unit,ingredient_unit,storage_to_ingredient_factor,cost,minimum_level,par_level,maximum_level,category_reference,barcode,name_localized
a245dd54-2cc6-4f67-895c-c1a5e0e623a4,"Iced tea",sk-0766,حبة,حبة,1,,,,,pm,,"شاي بارد"
a243983d-9172-49cc-bad8-2f80c31cdd87,"Date Cake",sk-0765,حبة,حبة,1,8,,,,,,"كيك التمر"
a2439650-c912-4aea-abab-b34d8bc0ee10,"Milk Cake",sk-0764,حبة,حبة,1,8,,,,,,"كيك اللبن"
a22f5952-bf7d-4f18-a683-8f019cd51ae5,Truffle,sk-0763,قطعة,قطعة,1,4.5,,,,,,الترفل
a22f585d-39b8-4e25-aeee-acbe7d6243f6,"Spicy Labneh Sandwich",sk-0762,قطعة,قطعة,1,7,,,,bap,,"ساندوتش لبنة سبايسي"
a22f57a1-1bb5-4438-bc1d-55bd2fc8ddff,"Spicy Tuna Sandwich",sk-0761,قطعة,قطعة,1,8,,,,bap,,"ساندوتش تونة سبايسي"
a1d76ad4-de1e-42d2-9787-fa16b48c0540,"Ice Cup",sk-0760,Unit,Unit,1,,,,,,,"Ice Cup"
a11c0510-83ef-464d-aea4-901024175275,Basbusa,sk-0672,حبة,حبة,1,10,,,,,,بسبوسة
a11c046c-1e54-42c6-83b9-7e8578080dce,"Layers sweet",sk-0671,حبة,حبة,1,12,,,,,,
a107ad05-7667-411a-a156-3ae83b1f7904,"Chocolate waffle",sk-0670,حبة,حبة,1,13,,,,,,"وافل تشوكلت"
a107aca9-82b3-42ef-8df0-97cf5d52969e,"Classic waffle",sk-0669,حبة,حبة,1,11,,,,,,"وافل كلاسيك"
a0c95da0-a965-48f1-838f-65c70f5c27aa,"Aricha 250g",sk-0668,كيس,كيس,1,10.625,,,,rb,,"اريكا 250 g"
a0c12058-d6c4-47ae-b9da-bcfca114bd70,"Cinnamon Roll",sk-0667,حبة,حبة,1,8,,,,,,"سينامون رول"
a08adeb2-3e09-48a0-9def-fc2e18299604,"Garagari Gutity 250 g",sk-0666,كيس,كيس,1,10.625,,,,rb,,"قاراقاري قوتيتي 250 g"
a05693eb-ee09-421d-a44d-b3b71c89d484,"Macaron dessert box",sk-0665,حبة,حبة,1,0.59,,,,pa,,"بوكس حلا ماكرون"
a0530fef-3139-4594-97e0-03598d26e5d5,MACRON,sk-0664,حبة,حبة,1,4,,,,,,ماكرون
9fe0437e-9fba-4eff-b1ce-54c050b92fa4,"Flavored sparkling water",sk-0663,كرتون,بالحبة,12,42,,,,wat,,"مياه غازية بالنكهات"
9fa7a063-d388-481d-b10d-77d5e0953bcb,"wheel chocolate",sk-0662,قطعة,قطعة,1,8.7,,,,bap,,"شوكلاته ويل"
